City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
299,whitehorse,60.7161,-135.0538,7.13,84,75,0.0,CA,1726551595
300,tabora,-5.0167,32.8,25.0,41,53,5.48,TZ,1726551596
301,shiqian,27.5225,108.2281,30.12,59,88,2.05,CN,1726551597
302,tolanaro,-25.0319,46.9987,21.04,88,40,0.0,MG,1726551598
303,luderitz,-26.6481,15.1594,11.97,84,0,6.27,NA,1726551599
304,kingston,17.997,-76.7936,30.53,70,20,5.66,JM,1726551600
305,havre,49.5833,0.3333,11.87,94,0,2.06,FR,1726551601
306,inhambane,-23.865,35.3833,27.31,69,56,3.27,MZ,1726551602
307,poronaysk,49.2167,143.1167,19.73,52,28,4.51,RU,1726551603
308,guankou,28.15,113.6333,32.41,54,100,2.23,CN,1726551604
309,mount isa,-20.7333,139.5,25.87,34,97,6.17,AU,1726551606
310,vila franca do campo,37.7167,-25.4333,23.23,84,96,2.17,PT,1726551607
311,maryville,35.7565,-83.9705,19.54,54,75,5.66,US,1726551492
312,selfoss,63.9331,-20.9971,8.91,88,98,5.04,IS,1726551609
313,pesqueira,-8.3578,-36.6964,16.77,91,75,4.85,BR,1726551610
314,arkalyk,50.2486,66.9114,10.94,35,25,11.51,KZ,1726551611
315,noosa heads,-26.3833,153.15,19.65,65,63,5.5,AU,1726551612
316,caazapa,-26.15,-56.4,13.51,71,0,1.81,PY,1726551613
317,ko pha ngan,9.7578,100.0291,29.38,74,100,9.68,TH,1726551614
318,colonia,50.9333,6.95,13.67,86,100,1.54,DE,1726551566
319,rawlins,41.7911,-107.2387,15.94,41,0,6.17,US,1726551616
320,moussoro,13.6408,16.4901,26.66,59,69,3.83,TD,1726551618
321,boca do acre,-8.7522,-67.3978,23.85,50,0,1.59,BR,1726551619
322,chonchi,-42.6128,-73.8092,5.07,71,99,1.25,CL,1726551620
323,graaff-reinet,-32.2522,24.5308,10.8,80,39,1.53,ZA,1726551621
324,ondjiva,-17.0667,15.7333,16.02,16,0,1.03,AO,1726551622
